,Title,Year,Rating,Vote,Metascore,Budget,Certificate,Runtime,Genre,Overview,Artist,Director
0,The Shawshank Redemption,(1994),9.3,"2,751,116",82        ,$28.34M,R,142 min,Drama,"
Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler']",Frank Darabont
1,The Dark Knight,(2008),9.0,"2,723,845",84        ,$534.86M,PG-13,152 min,"Action, Crime, Drama","
When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']",Christopher Nolan
2,Inception,(2010),8.8,"2,417,677",74        ,$292.58M,PG-13,148 min,"Action, Adventure, Sci-Fi","
A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']",Christopher Nolan
3,Fight Club,(1999),8.8,"2,190,708",66        ,$37.03M,R,139 min,Drama,"
An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.","['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']",David Fincher
4,Forrest Gump,(1994),8.8,"2,140,219",82        ,$330.25M,PG-13,142 min,"Drama, Romance","
The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']",Robert Zemeckis
5,Pulp Fiction,(1994),8.9,"2,113,442",95        ,$107.93M,R,154 min,"Crime, Drama","
The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']",Quentin Tarantino
6,The Matrix,(1999),8.7,"1,961,283",73        ,$171.48M,R,136 min,"Action, Sci-Fi","
When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving']",Lilly Wachowski; Lana Wachowski
7,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,"1,918,805",92        ,$315.54M,PG-13,178 min,"Action, Adventure, Drama","
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.","['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']",Peter Jackson
8,Interstellar,(2014),8.7,"1,916,598",74        ,$188.02M,PG-13,169 min,"Adventure, Drama, Sci-Fi","
When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy']",Christopher Nolan
9,The Godfather,(1972),9.2,"1,913,676",100        ,$134.97M,R,175 min,"Crime, Drama","
Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']",Francis Ford Coppola
10,The Lord of the Rings: The Return of the King,(2003),9.0,"1,890,201",94        ,$377.85M,PG-13,201 min,"Action, Adventure, Drama","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.","['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']",Peter Jackson
11,The Dark Knight Rises,(2012),8.4,"1,744,554",78        ,$448.14M,PG-13,164 min,"Action, Drama, Thriller","
Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.","['Christian Bale', 'Tom Hardy', 'Anne Hathaway', 'Gary Oldman']",Christopher Nolan
12,The Lord of the Rings: The Two Towers,(2002),8.8,"1,705,987",87        ,$342.55M,PG-13,179 min,"Action, Adventure, Drama","
While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom']",Peter Jackson
13,Se7en,(1995),8.6,"1,701,105",65        ,$100.13M,R,127 min,"Crime, Drama, Mystery","
Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']",David Fincher
14,Django Unchained,(2012),8.4,"1,602,626",81        ,$162.81M,R,165 min,"Drama, Western","
With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.","['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio', 'Kerry Washington']",Quentin Tarantino
15,Gladiator,(2000),8.5,"1,538,660",67        ,$187.71M,R,155 min,"Action, Adventure, Drama","
A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.","['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed']",Ridley Scott
16,Batman Begins,(2005),8.2,"1,505,717",70        ,$206.85M,PG-13,140 min,"Action, Crime, Drama","
After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.","['Christian Bale', 'Michael Caine', 'Ken Watanabe', 'Liam Neeson']",Christopher Nolan
17,Inglourious Basterds,(2009),8.3,"1,494,815",69        ,$120.54M,R,153 min,"Adventure, Drama, War","
In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","['Brad Pitt', 'Diane Kruger', 'Eli Roth', 'Mélanie Laurent']",Quentin Tarantino
18,The Silence of the Lambs,(1991),8.6,"1,470,061",86        ,$130.74M,R,118 min,"Crime, Drama, Thriller","
A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney', 'Kasi Lemmons']",Jonathan Demme
19,The Wolf of Wall Street,(2013),8.2,"1,466,787",75        ,$116.90M,R,180 min,"Biography, Comedy, Crime","
Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey']",Martin Scorsese
20,Saving Private Ryan,(1998),8.6,"1,425,912",91        ,$216.54M,R,169 min,"Drama, War","
Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","['Tom Hanks', 'Matt Damon', 'Tom Sizemore', 'Edward Burns']",Steven Spielberg
21,The Avengers,(2012),8.0,"1,417,891",69        ,$623.28M,PG-13,143 min,"Action, Sci-Fi","
Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.","['Robert Downey Jr.', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner']",Joss Whedon
22,Star Wars: Episode IV - A New Hope,(1977),8.6,"1,395,768",90        ,$322.74M,PG,121 min,"Action, Adventure, Fantasy","
Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Alec Guinness']",George Lucas
23,Schindler's List,(1993),9.0,"1,387,353",95        ,$96.90M,R,195 min,"Biography, Drama, History","
In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']",Steven Spielberg
24,The Prestige,(2006),8.5,"1,366,922",66        ,$53.09M,PG-13,130 min,"Drama, Mystery, Sci-Fi","
After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson', 'Michael Caine']",Christopher Nolan
25,Shutter Island,(2010),8.2,"1,364,072",63        ,$128.01M,R,138 min,"Mystery, Thriller","
Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.","['Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo', 'Ben Kingsley']",Martin Scorsese
26,Joker,(2019),8.4,"1,358,686",59        ,$335.45M,R,122 min,"Crime, Drama, Thriller","
The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution.","['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy']",Todd Phillips
27,The Departed,(2006),8.5,"1,358,622",85        ,$132.38M,R,151 min,"Crime, Drama, Thriller","
An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.","['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg']",Martin Scorsese
28,Avatar,(2009),7.9,"1,344,408",83        ,$760.51M,PG-13,162 min,"Action, Adventure, Fantasy","
A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Michelle Rodriguez']",James Cameron
29,The Green Mile,(1999),8.6,"1,337,733",61        ,$136.80M,R,189 min,"Crime, Drama, Fantasy","
A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution.","['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt']",Frank Darabont
30,Star Wars: Episode V - The Empire Strikes Back,(1980),8.7,"1,323,427",82        ,$290.48M,PG,124 min,"Action, Adventure, Fantasy","
After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']",Irvin Kershner
31,The Godfather Part II,(1974),9.0,"1,303,269",90        ,$57.30M,R,202 min,"Crime, Drama","
The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']",Francis Ford Coppola
32,Memento,(2000),8.4,"1,265,480",81        ,$25.54M,R,113 min,"Mystery, Thriller","
A man with short-term memory loss attempts to track down his wife's murderer.","['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano', 'Mark Boone Junior']",Christopher Nolan
33,Back to the Future,(1985),8.5,"1,241,390",87        ,$210.61M,PG,116 min,"Adventure, Comedy, Sci-Fi","
Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover']",Robert Zemeckis
34,Guardians of the Galaxy,(2014),8.0,"1,222,403",76        ,$333.18M,PG-13,121 min,"Action, Adventure, Comedy","
A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.","['Chris Pratt', 'Vin Diesel', 'Bradley Cooper', 'Zoe Saldana']",James Gunn
35,Titanic,(1997),7.9,"1,220,936",75        ,$659.33M,PG-13,194 min,"Drama, Romance","
A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane', 'Kathy Bates']",James Cameron
36,Goodfellas,(1990),8.7,"1,194,100",92        ,$46.84M,R,145 min,"Biography, Crime, Drama","
The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco']",Martin Scorsese
37,Léon: The Professional,(1994),8.5,"1,191,408",64        ,$19.50M,R,110 min,"Action, Crime, Drama","
12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","['Jean Reno', 'Gary Oldman', 'Natalie Portman', 'Danny Aiello']",Luc Besson
38,Avengers: Endgame,(2019),8.4,"1,183,887",78        ,$858.37M,PG-13,181 min,"Action, Adventure, Drama","
After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']",Joe Russo; Anthony Russo
39,American Beauty,(1999),8.3,"1,174,744",84        ,$130.10M,R,122 min,Drama,"
A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.","['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley']",Sam Mendes
40,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),8.1,"1,155,530",63        ,$305.41M,PG-13,143 min,"Action, Adventure, Fantasy","
Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley']",Gore Verbinski
41,WALL·E,(2008),8.4,"1,145,287",95        ,$223.81M,G,98 min,"Animation, Adventure, Family","
In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard']",Andrew Stanton
42,American History X,(1998),8.5,"1,144,809",62        ,$6.72M,R,119 min,"Crime, Drama","
Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.","['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Jennifer Lien']",Tony Kaye
43,Kill Bill: Vol. 1,(2003),8.2,"1,142,441",69        ,$70.10M,R,111 min,"Action, Crime, Drama","
After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","['Uma Thurman', 'David Carradine', 'Daryl Hannah', 'Michael Madsen']",Quentin Tarantino
44,V for Vendetta,(2005),8.2,"1,142,074",62        ,$70.51M,R,132 min,"Action, Drama, Sci-Fi","
In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.","['Hugo Weaving', 'Natalie Portman', 'Rupert Graves', 'Stephen Rea']",James McTeigue
45,Avengers: Infinity War,(2018),8.4,"1,127,009",68        ,$678.82M,PG-13,149 min,"Action, Adventure, Sci-Fi","
The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans']",Joe Russo; Anthony Russo
46,Terminator 2: Judgment Day,(1991),8.6,"1,125,006",75        ,$204.84M,R,137 min,"Action, Sci-Fi","
A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.","['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick']",James Cameron
47,The Truman Show,(1998),8.2,"1,119,465",90        ,$125.62M,PG,103 min,"Comedy, Drama","
An insurance salesman discovers his whole life is actually a reality TV show.","['Jim Carrey', 'Ed Harris', 'Laura Linney', 'Noah Emmerich']",Peter Weir
48,The Usual Suspects,(1995),8.5,"1,105,808",77        ,$23.34M,R,106 min,"Crime, Drama, Mystery","
The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.","['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri', 'Stephen Baldwin']",Bryan Singer
49,The Lion King,(1994),8.5,"1,087,529",88        ,$422.78M,G,88 min,"Animation, Adventure, Drama","
Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones', 'Whoopi Goldberg']",Rob Minkoff; Roger Allers
50,Iron Man,(2008),7.9,"1,084,166",79        ,$318.41M,PG-13,126 min,"Action, Adventure, Sci-Fi","
After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","['Robert Downey Jr.', 'Gwyneth Paltrow', 'Terrence Howard', 'Jeff Bridges']",Jon Favreau
51,Star Wars: Episode VI - Return of the Jedi,(1983),8.3,"1,079,326",58        ,$309.13M,PG,131 min,"Action, Adventure, Fantasy","
After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']",Richard Marquand
52,Up,(2009),8.3,"1,071,653",88        ,$293.00M,PG,96 min,"Animation, Adventure, Comedy","
78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","['Edward Asner', 'Jordan Nagai', 'John Ratzenberger', 'Christopher Plummer']",Bob Peterson; Pete Docter
53,Deadpool,(2016),8.0,"1,069,905",65        ,$363.07M,R,108 min,"Action, Comedy","
A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.","['Ryan Reynolds', 'Morena Baccarin', 'T.J. Miller', 'Ed Skrein']",Tim Miller
54,Finding Nemo,(2003),8.2,"1,068,340",90        ,$380.84M,G,100 min,"Animation, Adventure, Comedy","
After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe']",Lee Unkrich; Andrew Stanton
55,Braveheart,(1995),8.3,"1,056,967",68        ,$75.60M,R,178 min,"Biography, Drama, History","
Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.","['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen']",Mel Gibson
56,The Shining,(1980),8.4,"1,051,103",66        ,$44.02M,R,146 min,"Drama, Horror","
A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd', 'Scatman Crothers']",Stanley Kubrick
57,Reservoir Dogs,(1992),8.3,"1,044,456",81        ,$2.83M,R,99 min,"Crime, Thriller","
When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","['Harvey Keitel', 'Tim Roth', 'Michael Madsen', 'Chris Penn']",Quentin Tarantino
58,Eternal Sunshine of the Spotless Mind,(2004),8.3,"1,032,756",89        ,$34.40M,R,108 min,"Drama, Romance, Sci-Fi","
When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.","['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson', 'Gerry Robert Byrne']",Michel Gondry
59,Mad Max: Fury Road,(2015),8.1,"1,031,958",90        ,$154.06M,R,120 min,"Action, Adventure, Sci-Fi","
In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.","['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Zoë Kravitz']",George Miller
60,One Flew Over the Cuckoo's Nest,(1975),8.7,"1,030,183",84        ,$112.00M,R,133 min,Drama,"
In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.","['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman', 'Peter Brocco']",Milos Forman
61,Catch Me If You Can,(2002),8.1,"1,023,795",75        ,$164.62M,PG-13,141 min,"Biography, Crime, Drama","
Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken', 'Martin Sheen']",Steven Spielberg
62,Toy Story,(1995),8.3,"1,020,302",96        ,$191.80M,G,81 min,"Animation, Adventure, Comedy","
A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.","['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney']",John Lasseter
63,Jurassic Park,(1993),8.2,"1,015,817",68        ,$402.45M,PG-13,127 min,"Action, Adventure, Sci-Fi","
A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.","['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough']",Steven Spielberg
64,The Sixth Sense,(1999),8.2,"1,012,299",64        ,$293.51M,PG-13,107 min,"Drama, Mystery, Thriller","
Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.","['Bruce Willis', 'Haley Joel Osment', 'Toni Collette', 'Olivia Williams']",M. Night Shyamalan
65,Gone Girl,(2014),8.1,"1,010,260",79        ,$167.77M,R,149 min,"Drama, Mystery, Thriller","
With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris', 'Tyler Perry']",David Fincher
66,Good Will Hunting,(1997),8.3,"1,005,769",70        ,$138.43M,R,126 min,"Drama, Romance","
Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.","['Robin Williams', 'Matt Damon', 'Ben Affleck', 'Stellan Skarsgård']",Gus Van Sant
67,No Country for Old Men,(2007),8.2,"1,003,353",92        ,$74.28M,R,122 min,"Crime, Drama, Thriller","
Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.","['Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin', 'Woody Harrelson']",Joel Coen; Ethan Coen
68,Indiana Jones and the Raiders of the Lost Ark,(1981),8.4,"989,181",85        ,$248.16M,PG,115 min,"Action, Adventure","
In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.","['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'John Rhys-Davies']",Steven Spielberg
69,A Beautiful Mind,(2001),8.2,"951,577",72        ,$170.74M,PG-13,135 min,"Biography, Drama","
After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.","['Russell Crowe', 'Ed Harris', 'Jennifer Connelly', 'Christopher Plummer']",Ron Howard
70,The Hunger Games,(2012),7.2,"949,721",68        ,$408.01M,PG-13,142 min,"Action, Adventure, Sci-Fi","
Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Stanley Tucci']",Gary Ross
71,Star Wars: Episode VII - The Force Awakens,(2015),7.8,"948,348",80        ,$936.66M,PG-13,138 min,"Action, Adventure, Sci-Fi","
As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.","['Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Domhnall Gleeson']",J.J. Abrams
72,"Monsters, Inc.",(2001),8.1,"933,899",79        ,$289.92M,G,92 min,"Animation, Adventure, Comedy","
In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","['Lee Unkrich', 'Billy Crystal', 'John Goodman', 'Mary Gibbs', 'Steve Buscemi']",David Silverman; Pete Docter
73,Whiplash,(2014),8.5,"907,396",89        ,$13.09M,R,106 min,"Drama, Music","
A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.","['Miles Teller', 'J.K. Simmons', 'Melissa Benoist', 'Paul Reiser']",Damien Chazelle
74,Alien,(1979),8.5,"904,892",89        ,$78.90M,R,117 min,"Horror, Sci-Fi","
The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.","['Sigourney Weaver', 'Tom Skerritt', 'John Hurt', 'Veronica Cartwright']",Ridley Scott
75,Die Hard,(1988),8.2,"902,421",72        ,$83.01M,R,132 min,"Action, Thriller","
A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.","['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia', 'Reginald VelJohnson']",John McTiernan
76,Harry Potter and the Deathly Hallows: Part 2,(2011),8.1,"902,276",85        ,$381.01M,PG-13,130 min,"Adventure, Family, Fantasy","
Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Michael Gambon']",David Yates
77,Avengers: Age of Ultron,(2015),7.3,"887,096",66        ,$459.01M,PG-13,141 min,"Action, Adventure, Sci-Fi","
When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']",Joss Whedon
78,The Terminator,(1984),8.1,"886,933",84        ,$38.40M,R,107 min,"Action, Sci-Fi","
A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.","['Arnold Schwarzenegger', 'Linda Hamilton', 'Michael Biehn', 'Paul Winfield']",James Cameron
79,The Intouchables,(2011),8.5,"883,131",57        ,$13.18M,R,112 min,"Biography, Comedy, Drama","
After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","['François Cluzet', 'Omar Sy', 'Anne Le Ny', 'Audrey Fleurot']",Éric Toledano; Olivier Nakache
80,The Martian,(2015),8.0,"880,649",80        ,$228.43M,PG-13,144 min,"Adventure, Drama, Sci-Fi","
An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.","['Matt Damon', 'Jessica Chastain', 'Kristen Wiig', 'Kate Mara']",Ridley Scott
81,Snatch,(2000),8.2,"875,286",55        ,$30.33M,R,102 min,"Comedy, Crime","
Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","['Jason Statham', 'Brad Pitt', 'Stephen Graham', 'Vinnie Jones']",Guy Ritchie
82,Iron Man 3,(2013),7.1,"870,605",62        ,$409.01M,PG-13,130 min,"Action, Adventure, Sci-Fi","
When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","['Robert Downey Jr.', 'Guy Pearce', 'Gwyneth Paltrow', 'Don Cheadle']",Shane Black
