,Title,Year,Rating,Vote,Metascore,Budget,Certificate,Runtime,Genre,Overview,Artist,Director
924,Cowboys & Aliens,(2011),6.0,"226,301",50        ,$100.24M,PG-13,119 min,"Action, Drama, Sci-Fi","
A spaceship arrives in Arizona, 1873, to take over the Earth, starting with the Wild West region. A posse of cowboys and natives are all that stand in their way.","['Daniel Craig', 'Harrison Ford', 'Olivia Wilde', 'Abigail Spencer']",Jon Favreau
925,Ghost,(1990),7.1,"225,994",52        ,$217.63M,PG-13,127 min,"Drama, Fantasy, Romance","
After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.","['Patrick Swayze', 'Demi Moore', 'Whoopi Goldberg', 'Tony Goldwyn']",Jerry Zucker
926,Bram Stoker's Dracula,(1992),7.4,"225,938",57        ,$82.52M,R,128 min,"Drama, Fantasy, Horror","
The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and inflict havoc in the foreign land.","['Gary Oldman', 'Winona Ryder', 'Anthony Hopkins', 'Keanu Reeves']",Francis Ford Coppola
927,The Bridge on the River Kwai,(1957),8.1,"225,928",87        ,$44.91M,PG,161 min,"Adventure, Drama, War","
British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.","['William Holden', 'Alec Guinness', 'Jack Hawkins', 'Sessue Hayakawa']",David Lean
928,Blade II,(2002),6.7,"225,908",52        ,$82.35M,R,117 min,"Action, Horror, Sci-Fi","
Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.","['Wesley Snipes', 'Kris Kristofferson', 'Ron Perlman', 'Leonor Varela']",Guillermo del Toro
929,Captain Fantastic,(2016),7.8,"225,712",72        ,$5.88M,R,118 min,"Comedy, Drama","
In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.","['Viggo Mortensen', 'George MacKay', 'Samantha Isler', 'Annalise Basso']",Matt Ross
930,Big Daddy,(1999),6.4,"225,562",41        ,$163.48M,PG-13,93 min,"Comedy, Drama","
A lazy law-school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father.","['Adam Sandler', 'Joey Lauren Adams', 'Jon Stewart', 'Cole Sprouse']",Dennis Dugan
931,Thank You for Smoking,(2005),7.5,"225,271",71        ,$24.79M,R,92 min,"Comedy, Drama","
Satirical comedy follows the machinations of Big Tobacco's chief spokesman, Nick Naylor, who spins on behalf of cigarettes while trying to remain a role model for his 12-year old son.","['Aaron Eckhart', 'Cameron Bright', 'Maria Bello', 'Joan Lunden']",Jason Reitman
932,Ace Ventura: When Nature Calls,(1995),6.4,"225,220",45        ,$108.39M,PG-13,90 min,"Adventure, Comedy, Crime","
Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.","['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Maynard Eziashi']",Steve Oedekerk
933,Rocky Balboa,(2006),7.1,"224,903",63        ,$70.27M,PG,102 min,"Action, Drama, Sport","
Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight against the reigning heavyweight champ Mason 'The Line' Dixon.","['Sylvester Stallone', 'Antonio Tarver', 'Milo Ventimiglia', 'Burt Young']",Sylvester Stallone
934,Carlito's Way,(1993),7.9,"224,739",66        ,$36.95M,R,144 min,"Crime, Drama, Thriller","
A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.","['Al Pacino', 'Sean Penn', 'Penelope Ann Miller', 'John Leguizamo']",Brian De Palma
935,The Ugly Truth,(2009),6.4,"224,478",28        ,$88.92M,R,96 min,"Comedy, Romance","
An uptight television producer takes control of a morning show segment on modern relationships hosted by a misogynistic man.","['Katherine Heigl', 'Gerard Butler', 'Bree Turner', 'Eric Winter']",Robert Luketic
936,Everest,(2015),7.1,"224,381",64        ,$43.48M,PG-13,121 min,"Action, Adventure, Biography","
The story of New Zealand mountaineer Rob Hall, who on May 10, 1996, together with Scott Fischer, teamed up on a joint expedition to ascend Mount Everest.","['Jason Clarke', 'Ang Phula Sherpa', 'Thomas M. Wright', 'Martin Henderson']",Baltasar Kormákur
937,Daredevil,(2003),5.3,"224,281",42        ,$102.54M,PG-13,103 min,"Action, Crime","
A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.","['Ben Affleck', 'Jennifer Garner', 'Colin Farrell', 'Michael Clarke Duncan']",Mark Steven Johnson
938,Rosemary's Baby,(1968),8.0,"223,886",96        ,-,Approved,137 min,"Drama, Horror","
A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors.","['Mia Farrow', 'John Cassavetes', 'Ruth Gordon', 'Sidney Blackmer']",Roman Polanski
